X,CH1
Second,Volt,
5.18e-03,4.00e-01
5.20e-03,4.00e-02
5.22e-03,-3.20e-01
5.24e-03,-6.40e-01
5.26e-03,3.28e+00
5.28e-03,3.20e+00
5.30e-03,3.28e+00
5.32e-03,3.24e+00
5.34e-03,3.24e+00
5.36e-03,3.16e+00
5.38e-03,3.12e+00
5.40e-03,3.08e+00
5.42e-03,2.92e+00
5.44e-03,2.40e+00
5.46e-03,2.32e+00
5.48e-03,1.72e+00
5.50e-03,1.20e+00
5.52e-03,3.24e+00
5.54e-03,2.72e+00
5.56e-03,3.08e+00
5.58e-03,2.96e+00
5.60e-03,2.16e+00
5.62e-03,1.48e+00
5.64e-03,8.40e-01
5.66e-03,4.40e-01
5.68e-03,3.20e+00
5.70e-03,3.28e+00
5.72e-03,3.28e+00
5.74e-03,3.28e+00
5.76e-03,3.28e+00
5.78e-03,3.24e+00
5.80e-03,3.24e+00
5.82e-03,3.20e+00
5.84e-03,3.28e+00
5.86e-03,3.24e+00
5.88e-03,3.20e+00
5.90e-03,3.20e+00
5.92e-03,3.24e+00
5.94e-03,3.20e+00
5.96e-03,3.20e+00
5.98e-03,3.24e+00
6.00e-03,3.20e+00
6.02e-03,3.20e+00
6.04e-03,3.28e+00
6.06e-03,2.92e+00
6.08e-03,2.40e+00
6.10e-03,1.72e+00
6.12e-03,3.24e+00
6.14e-03,3.16e+00
6.16e-03,3.20e+00
6.18e-03,3.24e+00
6.20e-03,3.24e+00
6.22e-03,3.20e+00
6.24e-03,3.28e+00
6.26e-03,3.24e+00
6.28e-03,3.20e+00
6.30e-03,3.04e+00
6.32e-03,2.32e+00
6.34e-03,1.60e+00
6.36e-03,3.24e+00
6.38e-03,3.24e+00
6.40e-03,3.24e+00
6.42e-03,3.24e+00
6.44e-03,3.24e+00
6.46e-03,3.28e+00
6.48e-03,3.20e+00
6.50e-03,2.76e+00
6.52e-03,2.16e+00
6.54e-03,3.20e+00
6.56e-03,2.92e+00
6.58e-03,2.56e+00
6.60e-03,3.04e+00
6.62e-03,3.28e+00
6.64e-03,3.24e+00
6.66e-03,2.88e+00
6.68e-03,2.32e+00
6.70e-03,1.68e+00
6.72e-03,1.52e+00
6.74e-03,3.28e+00
6.76e-03,3.24e+00
6.78e-03,3.32e+00
6.80e-03,3.24e+00
6.82e-03,3.28e+00
6.84e-03,3.20e+00
6.86e-03,3.24e+00
6.88e-03,3.28e+00
